"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_save_schema_appends_new","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"","0","test_get_field_jql_name_falls_back_to_id","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"","2","test_fetch_cert_overwrites_existing","tests.integration","Mon Apr 06 07:28:02 UTC 2026","passed","Mon Apr 06 07:28:02 UTC 2026","","test_fetch_ssl_cert","",""
"","34","test_html_has_dau_trend_section","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_dau_report","",""
"","0","test_main_returns_1_when_fetch_sprint_data_fails","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_cli","",""
"","34","test_ai_assistance_chart_canvas_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"GET /api/schemas returns ok:true with a schemas list.","1","test_get_schemas_returns_list","tests.component","Mon Apr 06 07:28:12 UTC 2026","passed","Mon Apr 06 07:28:12 UTC 2026","","test_server","",""
"","35","test_filter_metadata_in_html","tests.integration","Mon Apr 06 07:28:02 UTC 2026","passed","Mon Apr 06 07:28:02 UTC 2026","","test_integration","",""
"","33","test_validate_cert_valid_future","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_cert_validation","",""
"","32","test_velocity_header_reflects_estimation_type_tickets","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_html","",""
"An unrecognised usage string counts as score 0.","0","test_unknown_usage_falls_back_to_zero","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","1","test_slugify_returns_safe_filename[!!!-schema]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_server_handlers","",""
"","0","test_create_client_passes_verify_ssl","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","1","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_filter_handlers","",""
"Both the default filter and a user filter appear in the filter list after page load.","159","test_filter_list_displayed_on_load[chromium]","tests.e2e","Mon Apr 06 07:28:46 UTC 2026","passed","Mon Apr 06 07:28:46 UTC 2026","","test_e2e_filters","",""
"","0","test_ai_usage_tool_breakdown","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_ai_trend_no_ai_label","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Clicking the second radio card adds 'selected' only to that card.","90","test_radio_card_click_marks_it_selected[chromium]","tests.e2e","Mon Apr 06 07:28:25 UTC 2026","passed","Mon Apr 06 07:28:26 UTC 2026","","test_dau_survey_ui","",""
"","33","test_project_type_shown_in_header","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","0","test_build_metrics_dict_story_points_velocity_unchanged","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_by_role_sorted_alphabetically","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
